"fecha","Sex","Age","Deaths","Mortality"
2014-12-29,"Both","0-14",31.1355608344194,0.00035956955498053
2015-01-05,"Both","0-14",28.9637887521526,0.00033448880807211
2015-01-12,"Both","0-14",27.5030625678044,0.00031761958683509
2015-01-19,"Both","0-14",27.8263093466749,0.0003213526077704
2015-01-26,"Both","0-14",25.9887531431413,0.00030013155863401
2015-02-02,"Both","0-14",28.539102581574,0.0003295843125927
2015-02-09,"Both","0-14",29.3590622971032,0.00033905363134314
2015-02-16,"Both","0-14",31.2352528891472,0.00036072085037374
2015-02-23,"Both","0-14",27.9000834497354,0.00032220458925702
2015-03-02,"Both","0-14",28.95456698927,0.00033438231038628
2015-03-09,"Both","0-14",26.7090208039427,0.00030844958199124
2015-03-16,"Both","0-14",28.5483243444566,0.00032969081027853
2015-03-23,"Both","0-14",24.5280269587933,0.00028326233739699
2015-03-30,"Both","0-14",27.3405655098791,0.00031574298679199
2015-04-06,"Both","0-14",26.4209137396222,0.00030512237264835
2015-04-13,"Both","0-14",26.9712099165959,0.00031147747742755
2015-04-20,"Both","0-14",27.5215060935696,0.00031783258220675
2015-04-27,"Both","0-14",28.2694390430185,0.00032647009862146
2015-05-04,"Both","0-14",23.2482413581357,0.00026848271157473
2015-05-11,"Both","0-14",27.2316516922688,0.00031448519371296
2015-05-18,"Both","0-14",26.2676384445794,0.00030335227029107
2015-05-25,"Both","0-14",27.0616802084411,0.00031252227513493
2015-06-01,"Both","0-14",26.6369940378625,0.00030761777965551
2015-06-08,"Both","0-14",25.6914243159382,0.00029669785160529
2015-06-15,"Both","0-14",32.2712929029168,0.00037268557613135
2015-06-22,"Both","0-14",26.348886973542,0.00030429057031262
2015-06-29,"Both","0-14",26.8087128586705,0.00030960087738444
2015-07-06,"Both","0-14",24.5556922474409,0.00028358183045447
2015-07-13,"Both","0-14",23.357155175746,0.00026974050465376
2015-07-20,"Both","0-14",29.4403108260658,0.00033999193136469
2015-07-27,"Both","0-14",28.0977202222107,0.00032448700089253
2015-08-03,"Both","0-14",26.105141386654,0.00030147567024797
2015-08-10,"Both","0-14",29.1429819988627,0.00033655822433597
2015-08-17,"Both","0-14",28.4319361009439,0.00032834669866456
2015-08-24,"Both","0-14",30.9361767249639,0.00035726696419412
2015-08-31,"Both","0-14",29.4771978775961,0.000340417922108
2015-09-07,"Both","0-14",24.8622428375265,0.00028712203516902
2015-09-14,"Both","0-14",25.9426443287286,0.00029959907020487
2015-09-21,"Both","0-14",27.8816399239702,0.00032199159388536
2015-09-28,"Both","0-14",28.2417737543709,0.00032615060556398
2015-10-05,"Both","0-14",27.9628884529329,0.00032292989390691
2015-10-12,"Both","0-14",26.1512502010667,0.00030200815867711
2015-10-19,"Both","0-14",27.4938408049219,0.00031751308914926
2015-10-26,"Both","0-14",26.1956116784992,0.00030252046795535
2015-11-02,"Both","0-14",29.0893987585477,0.0003359394173719
2015-11-09,"Both","0-14",28.1697469882907,0.00032531880322826
2015-11-16,"Both","0-14",30.8105667185686,0.00035581635489433
2015-11-23,"Both","0-14",28.5944331588693,0.00033022329870767
2015-11-30,"Both","0-14",28.485519341259,0.00032896550562863
2015-12-07,"Both","0-14",26.4393572653872,0.00030533536802
2015-12-14,"Both","0-14",26.52060579435,0.00030627366804155
2015-12-21,"Both","0-14",28.1789687511733,0.00032542530091408
2015-12-28,"Both","0-14",26.7551296183554,0.00030898207042038
2016-01-04,"Both","0-14",24.7225101829261,0.00028120368853433
2016-01-11,"Both","0-14",24.9814298885515,0.00028414874450629
2016-01-18,"Both","0-14",30.464866619704,0.00034651954032094
2016-01-25,"Both","0-14",26.547671684516,0.00030196380320798
2016-02-01,"Both","0-14",23.682060024595,0.00026936919357027
2016-02-08,"Both","0-14",26.2887519788906,0.00029901874723602
2016-02-15,"Both","0-14",29.0552490033359,0.00033048598748942
2016-02-22,"Both","0-14",32.2963899024,0.00036735201642954
2016-02-29,"Both","0-14",28.903396159569,0.00032875875269547
2016-03-07,"Both","0-14",27.5913027334003,0.00031383447888952
2016-03-14,"Both","0-14",25.1892018311625,0.00028651202542736
